InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
327164,IT Support,80293,16058.6,96351.6,CAD,2017-03-22
159075,Professional Services,270176,54035.2,324211,EUR,2017-03-03
830618,Professional Services,141277,28255.4,169532,USD,2017-04-20
669531,Beverages and Catering,66407,13281.4,79688.4,CAD,2017-05-02
543289,Waste management services,79947,15989.4,95936.4,CAD,2017-07-18
523731,Various paper supplies,139315,27863,167178,CAD,2017-08-20
823805,Concierge Services,130168,26033.6,156202,USD,2017-09-24
688048,Various paper supplies,182933,36586.6,219520,EUR,2017-10-18
811999,Waste management services,18722,3744.4,22466.4,EUR,2017-10-10
366951,Waste management services,139308,27861.6,167170,USD,2017-10-14
954330,Beverages and Catering,122055,24411,146466,USD,2017-11-20
900401,Various paper supplies,235450,47090,282540,USD,2017-12-12
