InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
439165,IT Support,2017-01-25,106715,21343,128058,EUR
938831,Beverages and Catering,2017-02-28,195554,39110.8,234665,USD
455941,Professional Services,2017-03-19,182657,36531.4,219188,EUR
998520,IT Support,2017-03-21,189324,37864.8,227189,RON
999561,IT Support,2017-06-11,294384,58876.8,353261,CAD
939648,Waste management services,2017-07-18,101093,20218.6,121312,USD
283339,Beverages and Catering,2017-08-19,180635,36127,216762,USD
816642,Professional Services,2017-08-24,200463,40092.6,240556,USD
630218,Various paper supplies,2017-09-08,160776,32155.2,192931,EUR
203144,Various paper supplies,2017-10-28,201741,40348.2,242089,CAD
383857,Concierge Services,2017-11-14,141013,28202.6,169216,RON
